paisCode,pais,continente
OWID_ENG,England,Europe
OWID_KOS,Kosovo,Europe
OWID_NIR,Northern Ireland,Europe
OWID_SCT,Scotland,Europe
OWID_WLS,Wales,Europe
PAK,Pakistan,Asia
PAN,Panama,North America
PCN,Pitcairn,Oceania
PER,Peru,South America
PHL,Philippines,Asia
PLW,Palau,Oceania
PNG,Papua New Guinea,Oceania
POL,Poland,Europe
PRI,Puerto Rico,North America
PRK,North Korea,Asia
PRT,Portugal,Europe
PRY,Paraguay,South America
PSE,Palestine,Asia
PYF,French Polynesia,Oceania
QAT,Qatar,Asia
REU,Reunion,Africa
ROU,Romania,Europe
RUS,Russia,Europe
RWA,Rwanda,Africa
SAU,Saudi Arabia,Asia
SDN,Sudan,Africa
SEN,Senegal,Africa
SGP,Singapore,Asia
SHN,Saint Helena,Africa
SLB,Solomon Islands,Oceania
SLE,Sierra Leone,Africa
SLV,El Salvador,North America
SMR,San Marino,Europe
SOM,Somalia,Africa
SPM,Saint Pierre and Miquelon,North America
SRB,Serbia,Europe
SSD,South Sudan,Africa
STP,Sao Tome and Principe,Africa
SUR,Suriname,South America
SVK,Slovakia,Europe
SVN,Slovenia,Europe
SWE,Sweden,Europe
SWZ,Eswatini,Africa
SXM,Sint Maarten (Dutch part),North America
SYC,Seychelles,Africa
SYR,Syria,Asia
TCA,Turks and Caicos Islands,North America
TCD,Chad,Africa
TGO,Togo,Africa
THA,Thailand,Asia
TJK,Tajikistan,Asia
TKL,Tokelau,Oceania
TKM,Turkmenistan,Asia
TLS,Timor,Asia
TON,Tonga,Oceania
TTO,Trinidad and Tobago,North America
TUN,Tunisia,Africa
TUR,Turkey,Asia
TUV,Tuvalu,Oceania
TWN,Taiwan,Asia
TZA,Tanzania,Africa
UGA,Uganda,Africa
UKR,Ukraine,Europe
URY,Uruguay,South America
USA,United States,North America
UZB,Uzbekistan,Asia
VAT,Vatican,Europe
VCT,Saint Vincent and the Grenadines,North America
VEN,Venezuela,South America
VGB,British Virgin Islands,North America
VIR,United States Virgin Islands,North America
VNM,Vietnam,Asia
VUT,Vanuatu,Oceania
WLF,Wallis and Futuna,Oceania
WSM,Samoa,Oceania
YEM,Yemen,Asia
ZAF,South Africa,Africa
ZMB,Zambia,Africa
ZWE,Zimbabwe,Africa
